id,destination_airport,destination_airport_name,destination_city,destination_state,destination_latitude,destination_longitude,mean_departure_delay,flight_count,flight_count_delay_ratio
132,GSO,Piedmont Triad International Airport,Greensboro,NC,36.09775,-79.9373,10.363520947947524,7329,707.1920862428029
133,GSP,Greenville-Spartanburg International Airport,Greer,SC,34.89567,-82.21885999999998,8.036779324055667,7172,892.3972789115645
134,GST,Gustavus Airport,Gustavus,AK,58.424380000000006,-135.70738,4.5064935064935066,77,17.086455331412104
135,GTF,Great Falls International Airport,Great Falls,MT,47.482,-111.37069,3.3939252336448598,2156,635.2526504199367
136,GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,33.45033,-88.59137,6.877245508982036,1015,147.5881584675664
137,GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,38.53396,-106.93318000000001,12.664556962025317,495,39.08545727136431
138,GUM,Guam International Airport,Agana,GU,13.48345,-144.79598000000001,21.382271468144044,365,17.07021634926804
139,HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,40.48118,-107.21766000000001,12.396358543417367,723,58.323579256581176
140,HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,47.3866,-92.83899,2.306900102986612,981,425.24598214285714
141,HLN,Helena Regional Airport,Helena,MT,46.60682,-111.98275,2.7178343949044588,1575,579.5055073822357
142,HNL,Honolulu International Airport,Honolulu,HI,21.31869,-157.92241,4.843263002629385,46937,9691.193720951787
143,HOB,Lea County Regional Airport,Hobbs,NM,32.687529999999995,-103.21703000000001,3.1983193277310926,624,195.1024697845507
144,HOU,William P. Hobby Airport,Houston,TX,29.64542,-95.27889,10.059911216124297,56640,5630.268377440139
145,HPN,Westchester County Airport,White Plains,NY,41.066959999999995,-73.70756999999998,12.706609485368315,8179,643.6807560205682
146,HRL,Valley International Airport,Harlingen,TX,26.228509999999996,-97.65439,6.573810245528948,3344,508.68520311707476
147,HSV,Huntsville International Airport,Huntsville,AL,34.64045,-86.77311,7.795543635238292,4912,630.1035860791319
148,HYA,Barnstable Municipal Airport,Hyannis,MA,41.66934000000001,-70.28036,4.439024390243903,83,18.697802197802197
149,HYS,Hays Regional Airport,Hays,KS,38.84494,-99.27403000000001,3.633711507293355,626,172.2756467439786
150,IAD,Washington Dulles International Airport,Chantilly,VA,38.94453,-77.45581,11.501210390316878,37281,3241.4849163517342
151,IAG,Niagara Falls International Airport,Niagara Falls,NY,43.10726,-78.94538,9.910979228486648,344,34.708982035928145
152,IAH,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,9.214249376812331,159670,17328.59546886258
153,ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,37.64996,-97.43305,9.559698899826289,8795,920.0080559189804
154,IDA,Idaho Falls Regional Airport,Idaho Falls,ID,43.514559999999996,-112.07016999999999,3.659408381265407,2448,668.9605927921859
155,ILG,Wilmington Airport,Wilmington,DE,39.67872,-75.60653,20.673684210526314,98,4.7403258655804485
156,ILM,Wilmington International Airport,Wilmington,NC,34.27061,-77.90256,6.772571986334797,2076,306.53051812351373
157,IMT,Ford Airport,Iron Mountain/Kingsford,MI,45.81835,-88.11454,-1.9210134128166916,678,-352.93871217998446
158,IND,Indianapolis International Airport,Indianapolis,IN,39.71733,-86.29438,9.79780746333672,27935,2851.14808639917
159,INL,Falls International Airport,International Falls,MN,48.56619,-93.40307,2.104669887278583,627,297.9089517980107
160,ISN,Sloulin Field International Airport,Williston,ND,48.17794,-103.64235,4.90215407082877,2762,563.425783868325
161,ISP,Long Island MacArthur Airport,Islip,NY,40.79524,-73.10021,13.87823275862069,4758,342.8390402981598
162,ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,42.49103,-76.45844,10.09375,35,3.4674922600619196
163,ITO,Hilo International Airport,Hilo,HI,19.72026,-155.04847,-0.045666505869110786,6227,-136358.1443661972
164,JAC,Jackson Hole Airport,Jackson,WY,43.60732,-110.73773999999999,12.618903279140259,3667,290.59577673931085
165,JAN,Jackson-Evers International Airport,Jackson,MS,32.311170000000004,-90.07589,7.958503490976156,7752,974.052472150034
166,JAX,Jacksonville International Airport,Jacksonville,FL,30.494059999999998,-81.68786,9.19490354602671,19750,2147.929002315021
167,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,40.63975,-73.77893,13.827110982208042,101944,7372.762114311216
168,JLN,Joplin Regional Airport,Joplin,MO,37.15181,-94.49826999999999,12.614285714285714,724,57.395243488108726
169,JMS,Jamestown Regional Airport,Jamestown,ND,46.92972,-98.6782,6.727485380116959,889,132.14447148817803
170,JNU,Juneau International Airport,Juneau,AK,58.35496,-134.57628,2.315466727231433,4432,1914.0849435998039
171,KOA,Kona International Airport at Keahole,Kailua/Kona,HI,19.738770000000002,-156.04563000000005,1.9097763048881524,12080,6325.348141078478
