id,origin_airport,origin_airport_name,origin_city,origin_state,origin_latitude,origin_longitude,mean_arrival_delay,flight_count,flight_count_delay_ratio
28,BET,Bethel Airport,Bethel,AK,60.77978,-161.838,3.8184647302904566,980,256.64765009508284
29,BFL,Meadows Field,Bakersfield,CA,35.4336,-119.05677,3.26101083032491,2820,864.7625373630023
30,BGM,Greater Binghamton Airport,Binghamton,NY,42.20848,-75.97961,6.218068535825545,324,52.106212424849694
31,BGR,Bangor International Airport,Bangor,ME,44.80744,-68.82814,3.2384615384615385,393,121.35391923990498
32,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.562940000000005,-86.75355,4.253259816705164,13660,3211.654257835082
33,BIL,Billings Logan International Airport,Billings,MT,45.80766,-108.54286,-2.7280025690430314,3130,-1147.359623307828
34,BIS,Bismarck Municipal Airport,Bismarck,ND,46.77411,-100.74672,4.208389351976337,3792,901.0573126317807
35,BJI,Bemidji Regional Airport,Bemidji,MN,47.50942,-94.93372,0.7796143250688705,729,935.077738515901
36,BLI,Bellingham International Airport,Bellingham,WA,48.79275,-122.53753,-1.4105113636363635,711,-504.07250755287015
37,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.47799000000001,-88.91595,4.908995449772489,2968,604.6043493761141
38,BNA,Nashville International Airport,Nashville,TN,36.12448,-86.67818,4.079659614702754,52000,12746.161423025667
39,BOI,Boise Airport (Boise Air Terminal),Boise,ID,43.56444000000001,-116.22278,5.564432176656151,12815,2303.0202531286764
40,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518000000002,3.7657638834478138,117980,31329.63288499683
41,BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,29.95083,-94.02069,14.47979797979798,1060,73.20544122776421
42,BQK,Brunswick Golden Isles Airport,Brunswick,GA,31.25903,-81.46631,4.481132075471698,963,214.90105263157895
43,BQN,Rafael Hernández Airport,Aguadilla,PR,18.49486,-67.12944,4.538892782060266,1439,317.03767176161807
44,BRD,Brainerd Lakes Regional Airport,Brainerd,MN,46.397859999999994,-94.13723,-0.6897637795275591,642,-930.7534246575342
45,BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,25.90683,-97.42586,1.6226568867155664,2566,1581.3571069814163
46,BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,71.28545,-156.766,1.728381374722838,936,541.5471456061579
47,BTM,Bert Mooney Airport,Butte,MT,45.9548,-112.49746,-6.3940677966101696,729,-114.01192842942346
48,BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.53316,-91.14963,10.753374393919538,7825,727.6785605478985
49,BTV,Burlington International Airport,Burlington,VT,44.473,-73.15031,5.6649117373799935,3326,587.1230045921715
50,BUF,Buffalo Niagara International Airport,Buffalo,NY,42.94052,-78.73217,0.1546426000775151,18417,119093.96240601502
51,BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585,2.9562130177514794,20657,6987.65612489992
52,BWI,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,6.772137081915332,94044,13886.901411245793
53,BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,45.7769,-111.15301000000001,1.017223650385604,3939,3872.3047763457166
54,CAE,Columbia Metropolitan Airport,Columbia,SC,33.93884,-81.11954,7.541643684500827,5585,740.5547429240108
55,CAK,Akron-Canton Regional Airport,Akron,OH,40.916309999999996,-81.44247,-0.17236577440816958,6591,-38238.44973070018
